feat_r3_score_numeric,feat_low_claim_specialty,feat_web_says_not_found_and_not_empty,feat_r3_high_confidence,feat_ev_pv_nf_org_n,feat_ev_pv_nf_prov_n,feat_ev_pv_nf_agg_n,feat_ev_pv_f_org_n,feat_ev_pv_f_prov_n,feat_ev_pv_f_agg_n,feat_ev_ov_nf_org_n,feat_ev_ov_nf_prov_n,feat_ev_ov_nf_agg_n,feat_ev_ov_f_org_n,feat_ev_ov_f_prov_n,feat_ev_ov_f_agg_n,feat_ev_total_found,feat_ev_total_not_found,feat_ev_total,feat_ev_found_ratio,feat_pv_found_any,feat_ov_found_any,feat_pv_notfound_any,feat_ov_notfound_any,feat_both_views_found,feat_only_pv_found,feat_only_ov_found,feat_neither_view_found,feat_source_diversity,feat_state_high_risk,feat_has_credentials,feat_npi_changed_by_r3,feat_npi_deactivated,feat_r3_suggests_name_change,feat_cred_is_md_do,feat_cred_is_midlevel,feat_has_pio_evidence,feat_pio_yes,feat_pio_no,feat_org_is_hospital,feat_org_is_missing,feat_claims_n,feat_claims_distinct_orgs,feat_claims_distinct_addrs,feat_claims_days_since,feat_claims_zip_match,feat_claims_street_zip_match,feat_claims_recent_zip_match,feat_claims_recent_street_zip,feat_claims_zip_but_no_match,feat_claims_log1p_n,feat_claims_high_volume,feat_claims_recent_active,feat_claims_no_match_high_n,feat_claims_strong_corroborate,feat_claims_strong_contradict,feat_r3acc_x_claims_contradict,feat_r3ina_x_claims_corroborate,target
0.0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False
16.0,0,1,0,0,0,4,0,0,1,0,0,2,0,0,1,2,6,8,0.25,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,True
82.6086956521739,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,4,2,6,0.6666666666666666,1,0,1,0,0,1,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,True
0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,37,2,2,23.0,0,0,0,0,1,3.6375861597263857,1,1,1,0,1,0,0,False
0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,15,1,1,23.0,0,0,0,0,1,2.772588722239781,0,1,0,0,0,0,0,True
5.71428571428571,0,0,0,3,0,2,0,0,2,0,0,1,0,0,0,2,6,8,0.25,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,43,5,5,15.0,1,0,1,0,0,3.784189633918261,1,1,0,0,0,0,0,False
0.0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False
20.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,0.5,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False
0.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,3,0.0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,True
0.0,0,0,0,4,2,5,0,0,0,3,1,0,0,0,0,0,15,15,0.0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,True
0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,72,1,1,37.0,0,0,0,0,1,4.290459441148391,1,1,1,0,1,0,0,False
0.0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,3,0.0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1115,2,2,26.0,0,0,0,0,1,7.017506142941256,1,1,1,0,1,0,0,False
100.0,0,1,1,0,0,0,1,0,3,0,0,0,1,0,0,5,0,5,1.0,1,1,0,0,1,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,74.0,0,0,0,0,0,0.6931471805599453,0,1,0,0,0,0,0,True
0.0,0,0,0,9,0,2,0,0,0,4,0,0,0,0,0,0,15,15,0.0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1204,3,2,26.0,1,1,1,1,0,7.094234845924755,1,1,0,1,0,0,1,False
0.0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,7,7,0.0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,798,1,1,27.0,1,1,1,1,0,6.683360945766275,1,1,0,1,0,0,1,True
19.047619047619,0,1,0,1,0,1,0,0,4,1,0,0,0,0,0,4,3,7,0.5714285714285714,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,118,8,8,16.0,0,0,0,0,1,4.77912349311153,1,1,1,0,1,0,0,False
80.0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,1.0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,True
0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,1,81.0,0,0,0,0,0,1.6094379124341003,0,1,0,0,0,0,0,False
0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,764,13,13,16.0,0,0,0,0,1,6.639875833826536,1,1,1,0,1,0,0,False
0.0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,77,6,6,20.0,0,0,0,0,1,4.356708826689592,1,1,1,0,1,0,0,False
0.0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,486,5,5,31.0,0,0,0,0,1,6.18826412308259,1,1,1,0,1,0,0,False
